iter	Accuracy	MultiClass
121	0.8208744711	0.5170648213
122	0.8208744711	0.5152508117
123	0.8204043253	0.5139916567
124	0.8227550541	0.512087027
125	0.8227550541	0.5108994384
126	0.8227550541	0.5097858266
127	0.8218147626	0.5080517624
128	0.824635637	0.5064398833
129	0.8279266573	0.5046353432
130	0.8293370945	0.5024896146
131	0.8288669488	0.5013213667
132	0.8312176775	0.4997269918
133	0.8307475317	0.4982289761
134	0.8307475317	0.4968280084
135	0.832157969	0.4955589248
136	0.8335684062	0.4943479207
137	0.8330982605	0.4931722694
138	0.8354489892	0.4918216908
139	0.8368594264	0.4905019311
140	0.8387400094	0.489358763
141	0.8401504466	0.4882824552
142	0.8415608839	0.4871133464
143	0.8415608839	0.4859182396
144	0.8429713211	0.4844192483
145	0.8439116126	0.48314609
146	0.8448519041	0.4812097231
147	0.8457921956	0.4795765807
148	0.8472026328	0.4782936085
149	0.8486130701	0.4768446621
150	0.8486130701	0.4758134061
151	0.8481429243	0.4743703996
152	0.8509637988	0.4732701024
153	0.8509637988	0.4716948674
154	0.8547249647	0.4691527976
155	0.8575458392	0.467422263
156	0.856135402	0.4658095517
157	0.8584861307	0.4640610251
158	0.8589562764	0.4631753983
159	0.8613070052	0.4621597814
160	0.8598965679	0.4613855503
161	0.8622472967	0.460442504
162	0.8631875882	0.4587284406
163	0.8645980254	0.4571041651
164	0.8641278796	0.455875255
165	0.8645980254	0.4550419114
166	0.8669487541	0.4537661417
167	0.8678890456	0.4528397962
168	0.8688293371	0.4514962767
169	0.8683591913	0.4502799927
170	0.8688293371	0.4483428797
171	0.8721203573	0.4473599468
172	0.8711800658	0.4463162658
173	0.8735307945	0.4455164096
174	0.8716502116	0.4442521469
175	0.8730606488	0.4435664698
176	0.8754113775	0.4422182156
177	0.8754113775	0.4412815397
178	0.8768218148	0.4397722755
179	0.876351669	0.4391960427
180	0.8796426892	0.4375121095
181	0.8810531265	0.4366334844
182	0.880112835	0.4353152456
183	0.8787023977	0.4343820132
184	0.8791725435	0.4333509581
185	0.8796426892	0.4319801779
186	0.8810531265	0.4303109367
187	0.8810531265	0.4287281261
188	0.8810531265	0.4277724251
189	0.8834038552	0.4268165807
190	0.8852844382	0.425632206
191	0.8857545839	0.4245302445
192	0.8871650212	0.4225844942
193	0.8857545839	0.4217280795
194	0.8862247297	0.4202895781
195	0.8866948754	0.4192299711
196	0.8866948754	0.4182232497
197	0.8890456041	0.4172798304
198	0.8895157499	0.4160036016
199	0.8895157499	0.414146348
200	0.8937470616	0.4122720493
201	0.8960977903	0.4110777747
202	0.8960977903	0.4102271851
203	0.8970380818	0.4092763624
204	0.8965679361	0.4084248832
205	0.8975082276	0.407347485
206	0.8979783733	0.4067817835
207	0.898448519	0.4056436084
208	0.8989186648	0.4045725519
209	0.8993888105	0.4041218903
210	0.9017395393	0.4018843937
211	0.9045604137	0.4006046354
212	0.9045604137	0.3999692041
213	0.9050305595	0.3992014007
214	0.9055007052	0.3981555675
215	0.9073812882	0.3971943858
216	0.9069111425	0.3963310267
217	0.905970851	0.3956675312
218	0.9083215797	0.3948619647
219	0.9106723084	0.3941382375
220	0.9097320169	0.3932623386
221	0.9087917254	0.3920682074
222	0.9078514339	0.3913157561
223	0.9092618712	0.3898899955
224	0.9116125999	0.3880116508
225	0.9149036201	0.3867015327
226	0.9144334744	0.385726405
227	0.9158439116	0.384856159
228	0.9172543488	0.3835379776
229	0.9177244946	0.3821498654
230	0.9191349318	0.3815012341
231	0.9191349318	0.3799113071
232	0.9210155148	0.3789926232
233	0.922425952	0.3775626731
234	0.922425952	0.3766568735
235	0.9228960978	0.3756812866
236	0.9210155148	0.3746438325
237	0.9210155148	0.3736843724
238	0.9228960978	0.3723546554
239	0.9247766808	0.3710410078
240	0.9238363893	0.3701451942
241	0.924306535	0.3693753248
242	0.9257169723	0.3683783312
243	0.9257169723	0.3672857244
244	0.926187118	0.3667301524
245	0.926187118	0.3660273442
246	0.928067701	0.3647730674
247	0.9290079925	0.3638133205
248	0.9294781382	0.3628055086
249	0.9304184297	0.3620236159
250	0.9304184297	0.3610942573
251	0.9313587212	0.3604831884
252	0.9318288669	0.3597540378
253	0.9313587212	0.358880951
254	0.9318288669	0.3578319325
255	0.9318288669	0.3569944854
256	0.9341795957	0.3554588214
257	0.9351198872	0.3546655652
258	0.9351198872	0.3531619253
259	0.9365303244	0.3517117449
260	0.9370004701	0.3504920461
261	0.9370004701	0.3495915551
262	0.9370004701	0.349053143
263	0.9365303244	0.3483061725
264	0.9370004701	0.3473963843
265	0.9379407616	0.3461579474
266	0.9398213446	0.3447948289
267	0.9398213446	0.343580324
268	0.9402914904	0.3429387231
269	0.9402914904	0.3424678313
270	0.9412317819	0.3413872192
271	0.9421720733	0.3405435739
272	0.9421720733	0.3393596296
273	0.9431123648	0.3388134123
274	0.9431123648	0.3380553367
275	0.9440526563	0.3372380912
276	0.9440526563	0.3364310899
277	0.9449929478	0.3356752813
278	0.9449929478	0.3350255883
279	0.9445228021	0.3342795074
280	0.9445228021	0.3338146416
281	0.946403385	0.3331238855
282	0.9468735308	0.3325779264
283	0.9473436765	0.3318191622
284	0.9492242595	0.3307548491
285	0.9492242595	0.3300590139
286	0.9496944053	0.3287218934
287	0.9511048425	0.3277632082
288	0.9515749882	0.3267147349
289	0.9525152797	0.3257259195
290	0.9529854255	0.3248579118
291	0.9534555712	0.3242604444
292	0.953925717	0.3233780603
293	0.9548660085	0.3222242462
294	0.9543958627	0.3209999562
295	0.9558063	0.3195993041
296	0.9567465914	0.3186671047
