iter	Passed	Remaining
415	3247	4558
416	3254	4549
417	3263	4543
418	3274	4540
419	3285	4537
420	3293	4530
421	3301	4522
422	3308	4513
423	3316	4504
424	3323	4495
425	3330	4488
426	3337	4478
427	3346	4472
428	3354	4464
429	3363	4459
430	3375	4456
431	3383	4448
432	3392	4442
433	3403	4439
434	3412	4432
435	3420	4424
436	3428	4417
437	3438	4412
438	3446	4404
439	3454	4396
440	3462	4389
441	3470	4381
442	3478	4373
443	3486	4366
444	3496	4360
445	3503	4351
446	3510	4343
447	3517	4334
448	3525	4326
449	3532	4317
450	3540	4309
451	3548	4301
452	3555	4293
453	3562	4284
454	3569	4275
455	3578	4269
456	3591	4267
457	3600	4261
458	3611	4256
459	3621	4251
460	3629	4243
461	3640	4239
462	3650	4233
463	3660	4228
464	3673	4226
465	3684	4221
466	3693	4215
467	3704	4210
468	3714	4204
469	3729	4205
470	3739	4200
471	3748	4192
472	3757	4186
473	3764	4177
474	3773	4170
475	3781	4163
476	3790	4156
477	3797	4147
478	3805	4139
479	3814	4132
480	3821	4123
481	3828	4114
482	3840	4110
483	3851	4106
484	3860	4099
485	3871	4094
486	3883	4090
487	3896	4088
488	3906	4082
489	3916	4076
490	3925	4069
491	3934	4062
492	3944	4056
493	3952	4048
494	3960	4040
495	3969	4033
496	3977	4025
497	3986	4018
498	3994	4010
499	4003	4003
500	4015	3999
501	4022	3990
502	4031	3983
503	4038	3974
504	4047	3967
505	4054	3958
506	4064	3951
507	4073	3945
508	4085	3941
509	4095	3934
510	4103	3926
511	4111	3918
512	4119	3910
513	4127	3902
514	4134	3893
515	4143	3886
516	4152	3879
517	4165	3876
518	4179	3873
519	4193	3870
520	4201	3862
521	4210	3856
522	4218	3847
523	4228	3840
524	4235	3831
525	4243	3824
526	4250	3815
527	4259	3808
528	4268	3800
529	4280	3795
530	4290	3789
531	4298	3781
532	4307	3774
533	4314	3765
534	4323	3757
535	4331	3749
536	4342	3743
537	4351	3737
538	4360	3729
539	4370	3722
540	4378	3714
541	4387	3707
542	4396	3700
543	4409	3696
544	4418	3688
545	4429	3683
546	4439	3676
547	4452	3672
548	4460	3664
549	4469	3657
550	4478	3649
551	4487	3642
552	4498	3636
553	4506	3628
554	4517	3622
555	4525	3613
556	4533	3605
557	4541	3597
558	4550	3589
559	4557	3580
560	4567	3574
561	4580	3569
562	4592	3564
563	4601	3557
564	4608	3547
565	4617	3540
566	4624	3531
567	4637	3527
568	4648	3520
569	4656	3512
570	4665	3505
571	4673	3496
572	4681	3488
573	4694	3483
574	4702	3475
575	4711	3468
576	4719	3459
577	4728	3452
578	4736	3444
579	4745	3436
580	4753	3428
581	4766	3423
582	4774	3415
583	4782	3406
584	4790	3398
585	4799	3391
586	4807	3382
587	4818	3376
588	4828	3369
589	4836	3361
590	4846	3354
591	4853	3345
592	4863	3337
593	4871	3329
594	4880	3322
595	4889	3314
596	4897	3306
597	4904	3297
598	4913	3289
599	4924	3283
600	4936	3277
601	4945	3269
602	4953	3261
603	4961	3252
604	4969	3244
605	4977	3236
606	4985	3227
607	4994	3219
608	5002	3211
609	5011	3204
610	5020	3196
611	5028	3188
612	5036	3179
613	5045	3171
614	5056	3165
615	5063	3156
616	5073	3149
617	5081	3140
618	5092	3134
619	5104	3128
620	5115	3122
621	5124	3114
622	5132	3105
623	5141	3098
624	5151	3091
625	5159	3082
626	5168	3074
627	5177	3066
628	5185	3058
629	5194	3050
630	5202	3042
631	5210	3033
632	5218	3025
633	5225	3016
634	5234	3008
635	5242	3000
636	5251	2992
637	5261	2985
638	5273	2979
639	5281	2970
640	5290	2963
641	5302	2956
642	5310	2948
643	5319	2940
644	5326	2931
645	5335	2923
646	5346	2917
647	5356	2909
648	5365	2901
649	5372	2892
650	5381	2885
651	5389	2876
652	5397	2868
653	5405	2859
654	5414	2852
655	5422	2843
656	5432	2836
657	5441	2828
658	5453	2821
659	5462	2813
660	5470	2805
661	5478	2797
662	5487	2789
663	5496	2781
664	5504	2773
665	5515	2765
666	5522	2757
667	5534	2750
668	5546	2744
669	5557	2737
670	5566	2729
671	5575	2721
672	5582	2712
673	5591	2704
674	5600	2696
675	5611	2689
676	5624	2683
677	5632	2674
678	5643	2667
679	5652	2659
680	5661	2652
681	5670	2643
682	5679	2635
683	5688	2628
684	5698	2620
685	5707	2612
686	5716	2604
687	5725	2596
688	5732	2587
689	5742	2579
690	5750	2571
691	5764	2565
692	5777	2559
693	5789	2552
694	5797	2544
695	5807	2536
696	5815	2528
