iter	Passed	Remaining
411	3891	5553
412	3903	5548
413	3916	5543
414	3930	5541
415	3942	5535
416	3958	5533
417	3971	5529
418	3986	5527
419	3997	5520
420	4007	5511
421	4018	5503
422	4026	5491
423	4035	5482
424	4044	5471
425	4053	5462
426	4063	5452
427	4072	5442
428	4082	5433
429	4091	5423
430	4102	5416
431	4112	5407
432	4121	5396
433	4133	5390
434	4142	5381
435	4153	5372
436	4166	5368
437	4175	5357
438	4184	5347
439	4195	5339
440	4204	5329
441	4213	5319
442	4223	5310
443	4233	5300
444	4243	5292
445	4251	5281
446	4262	5273
447	4273	5266
448	4281	5254
449	4293	5247
450	4304	5239
451	4313	5229
452	4321	5217
453	4333	5211
454	4345	5204
455	4354	5194
456	4364	5186
457	4377	5179
458	4385	5169
459	4400	5165
460	4414	5161
461	4428	5156
462	4441	5151
463	4451	5142
464	4462	5134
465	4474	5126
466	4486	5120
467	4494	5109
468	4504	5100
469	4512	5088
470	4521	5078
471	4530	5067
472	4540	5058
473	4547	5046
474	4556	5035
475	4564	5025
476	4575	5017
477	4583	5005
478	4593	4995
479	4602	4985
480	4610	4975
481	4621	4966
482	4633	4959
483	4641	4948
484	4651	4939
485	4660	4929
486	4671	4920
487	4679	4909
488	4688	4899
489	4697	4889
490	4707	4880
491	4717	4870
492	4725	4859
493	4735	4850
494	4743	4838
495	4752	4828
496	4760	4817
497	4769	4807
498	4778	4797
499	4788	4788
500	4801	4782
501	4810	4772
502	4823	4765
503	4837	4760
504	4851	4755
505	4863	4748
506	4872	4737
507	4881	4727
508	4890	4717
509	4900	4708
510	4908	4697
511	4916	4686
512	4925	4675
513	4934	4665
514	4942	4654
515	4950	4643
516	4961	4635
517	4973	4628
518	4984	4619
519	4993	4609
520	5003	4600
521	5028	4604
522	5040	4596
523	5057	4594
524	5068	4586
525	5078	4576
526	5086	4565
527	5097	4557
528	5106	4546
529	5116	4537
530	5128	4529
531	5138	4520
532	5148	4511
533	5159	4502
534	5168	4492
535	5178	4482
536	5188	4473
537	5198	4464
538	5213	4458
539	5220	4447
540	5230	4437
541	5239	4427
542	5249	4418
543	5262	4411
544	5269	4399
545	5278	4389
546	5287	4378
547	5297	4369
548	5307	4359
549	5316	4349
550	5328	4342
551	5339	4333
552	5354	4327
553	5363	4317
554	5373	4308
555	5381	4297
556	5391	4288
557	5402	4279
558	5411	4269
559	5421	4259
560	5430	4249
561	5439	4239
562	5449	4229
563	5462	4223
564	5472	4213
565	5481	4202
566	5491	4193
567	5500	4183
568	5511	4175
569	5520	4164
570	5528	4153
571	5537	4143
572	5545	4132
573	5556	4124
574	5565	4113
575	5575	4104
576	5588	4096
577	5596	4086
578	5608	4077
579	5619	4069
580	5627	4058
581	5638	4049
582	5646	4038
583	5656	4029
584	5666	4019
585	5675	4009
586	5686	4000
587	5696	3991
588	5707	3982
589	5721	3976
590	5730	3966
591	5739	3955
592	5750	3947
593	5759	3936
594	5769	3927
595	5778	3916
596	5787	3906
597	5797	3897
598	5805	3886
599	5816	3877
600	5824	3866
601	5834	3857
602	5843	3847
603	5852	3837
604	5862	3827
605	5872	3818
606	5885	3810
607	5894	3800
608	5903	3790
609	5913	3780
610	5928	3774
611	5935	3763
612	5945	3753
613	5954	3743
614	5963	3732
615	5971	3722
616	5983	3714
617	5996	3706
618	6010	3699
619	6018	3688
620	6031	3681
621	6041	3671
622	6051	3661
623	6060	3652
624	6069	3641
625	6080	3632
626	6126	3644
627	6143	3638
628	6152	3629
629	6164	3620
630	6175	3611
631	6185	3601
632	6196	3592
633	6205	3582
634	6214	3572
635	6226	3563
636	6235	3553
637	6246	3544
638	6254	3533
639	6265	3524
640	6277	3515
641	6285	3505
642	6296	3495
643	6309	3487
644	6319	3478
645	6330	3468
646	6341	3459
647	6351	3450
648	6363	3441
649	6374	3432
650	6387	3424
651	6399	3415
652	6412	3407
653	6425	3399
654	6435	3389
655	6445	3379
656	6459	3372
657	6470	3363
658	6480	3353
659	6491	3344
660	6506	3336
661	6517	3327
662	6527	3318
663	6542	3310
664	6555	3302
665	6565	3292
666	6577	3283
667	6588	3274
668	6598	3264
669	6608	3254
670	6621	3246
671	6633	3237
672	6641	3226
673	6650	3216
674	6659	3206
675	6672	3198
676	6684	3189
677	6693	3179
678	6705	3169
679	6715	3160
680	6724	3149
681	6737	3141
682	6749	3132
683	6759	3122
684	6770	3113
685	6780	3103
686	6789	3093
687	6799	3083
688	6813	3075
689	6823	3065
690	6834	3056
691	6842	3045
692	6852	3035
693	6863	3026
694	6871	3015
695	6882	3005
696	6889	2995
697	6900	2985
698	6910	2975
699	6920	2966
700	6930	2956
701	6940	2946
702	6954	2938
703	6964	2928
704	6973	2918
705	6985	2909
706	6996	2899
707	7005	2889
708	7015	2879
709	7024	2869
710	7034	2859
711	7044	2849
712	7052	2838
713	7062	2829
714	7071	2818
715	7080	2808
716	7091	2799
717	7101	2789
718	7112	2779
719	7124	2770
720	7134	2760
721	7143	2750
722	7153	2740
723	7163	2731
724	7175	2721
725	7185	2711
726	7196	2702
727	7206	2692
728	7221	2684
729	7231	2674
730	7241	2664
731	7251	2655
732	7264	2646
733	7315	2651
734	7331	2643
735	7345	2634
736	7361	2626
737	7376	2618
738	7389	2609
739	7402	2601
740	7414	2591
741	7425	2582
742	7435	2572
743	7450	2563
744	7462	2554
745	7476	2545
746	7487	2535
747	7496	2525
748	7507	2515
749	7514	2504
750	7527	2495
751	7539	2486
752	7549	2476
753	7558	2466
754	7569	2456
755	7579	2446
756	7590	2436
757	7601	2427
758	7610	2416
759	7619	2406
760	7630	2396
761	7643	2387
762	7654	2377
763	7662	2367
764	7672	2356
765	7683	2347
766	7692	2336
767	7702	2326
768	7711	2316
769	7722	2306
770	7731	2296
771	7741	2286
772	7751	2276
773	7760	2266
774	7773	2256
775	7785	2247
776	7797	2238
777	7807	2227
778	7817	2217
779	7827	2207
780	7837	2197
781	7849	2188
782	7862	2179
783	7872	2168
784	7883	2159
785	7894	2149
786	7904	2139
787	7915	2129
788	7926	2119
789	7937	2109
790	7950	2100
791	7962	2091
792	7970	2080
793	7980	2070
794	7988	2060
795	8000	2050
796	8011	2040
797	8019	2030
798	8029	2020
799	8039	2009
800	8051	2000
801	8063	1990
802	8076	1981
803	8084	1970
804	8094	1960
805	8103	1950
806	8115	1940
807	8126	1930
808	8139	1921
809	8150	1911
810	8163	1902
811	8174	1892
812	8184	1882
813	8197	1873
814	8210	1863
815	8241	1858
816	8257	1849
817	8267	1839
818	8281	1830
819	8293	1820
820	8305	1810
821	8317	1801
822	8329	1791
823	8341	1781
824	8356	1772
825	8371	1763
826	8390	1755
827	8400	1745
828	8412	1735
829	8426	1725
830	8440	1716
831	8452	1706
832	8462	1696
833	8477	1687
834	8489	1677
835	8500	1667
836	8511	1657
837	8522	1647
838	8534	1637
839	8545	1627
840	8557	1617
841	8569	1607
842	8578	1597
843	8591	1587
844	8603	1578
