iter	Accuracy	MultiClass
321	0.78232252	0.6623697572
322	0.7846732487	0.6614863401
323	0.784203103	0.6607930587
324	0.7856135402	0.6602003262
325	0.7846732487	0.6596468489
326	0.7856135402	0.6590808605
327	0.7860836859	0.6582884652
328	0.7856135402	0.6576623885
329	0.7860836859	0.6572853307
330	0.7865538317	0.6568690176
331	0.7860836859	0.6564114404
332	0.7874941232	0.655756611
333	0.7870239774	0.6552367074
334	0.7893747062	0.6546563712
335	0.7889045604	0.6538596716
336	0.7879642689	0.6533196812
337	0.7893747062	0.6526941785
338	0.7907851434	0.6517568713
339	0.7903149976	0.6514651537
340	0.7917254349	0.6510396006
341	0.7917254349	0.6504109987
342	0.7917254349	0.6497783221
343	0.7917254349	0.6493566717
344	0.7926657264	0.648906211
345	0.7940761636	0.6481515788
346	0.7945463094	0.6475096049
347	0.7950164551	0.6470427305
348	0.7945463094	0.6465225973
349	0.7950164551	0.6458409663
350	0.7936060179	0.6453000003
351	0.7931358721	0.6445393995
352	0.7931358721	0.644090144
353	0.7964268923	0.643307333
354	0.7973671838	0.6423408713
355	0.7978373296	0.6417677664
356	0.7978373296	0.6412007449
357	0.7978373296	0.6408060107
358	0.7997179126	0.6403118756
359	0.7987776211	0.6395857093
360	0.7992477668	0.639086409
361	0.7987776211	0.6386251589
362	0.8001880583	0.6380658278
363	0.8015984955	0.637588049
364	0.8020686413	0.6369002772
365	0.8011283498	0.6361040367
366	0.8001880583	0.6355318501
367	0.8001880583	0.6351395263
368	0.8011283498	0.6346046437
369	0.8034790785	0.6339926852
370	0.8030089328	0.6335459549
371	0.8039492243	0.6330109001
372	0.8039492243	0.6326531256
373	0.8058298072	0.6321225473
374	0.8058298072	0.6314447042
375	0.8058298072	0.6307770765
376	0.8072402445	0.62992224
377	0.806299953	0.6294004425
378	0.806299953	0.6286486799
379	0.8077103902	0.6280661629
380	0.8091208275	0.6273193359
381	0.8091208275	0.6267473788
382	0.808180536	0.6261567697
383	0.8086506817	0.6253035401
384	0.8091208275	0.6248502099
385	0.8100611189	0.624185911
386	0.8095909732	0.6237752795
387	0.8100611189	0.6231679123
388	0.8105312647	0.6223419433
389	0.8110014104	0.6214989867
390	0.8105312647	0.6211222732
391	0.8114715562	0.620599041
392	0.8119417019	0.6199883451
393	0.8128819934	0.6193847656
394	0.8114715562	0.6188232537
395	0.8119417019	0.6181989561
396	0.8128819934	0.6174410527
397	0.8133521392	0.6170733496
398	0.8138222849	0.6164308018
399	0.8147625764	0.6158203355
400	0.8157028679	0.6150121577
401	0.8147625764	0.6145223843
402	0.8166431594	0.6140889687
403	0.8171133051	0.6132962864
404	0.8147625764	0.6126519021
405	0.8157028679	0.6122631365
